#received from email w mirko
Depth	Sulphate
m	ug/l
123.1036036	47.04418971
123.1126126	48.44071935
123.1216216	44.92047998
123.1306306	48.6586312
123.1396396	52.1865208
123.1486486	68.1258781
123.1576577	76.6218875
123.1666667	66.75849456
123.1756757	54.10178777
123.1846847	50.63427543
123.1936937	49.0880801
123.2027027	49.78321704
123.2117117	51.98680354
123.2207207	60.84271175
123.2297297	65.6413472
123.2387387	59.8573152
123.2477477	48.62433713
123.2567568	50.88861265
123.2657658	58.46731315
123.2747748	60.6019035
123.2837838	55.51830922
123.2927928	58.46062288
123.3018018	58.63995619
123.3108108	59.63199063
123.3198198	58.68647542
123.3288288	59.51663612
123.3378378	63.55481811
123.3468468	63.15771442
123.3558559	54.18976306
123.3648649	52.45235019
123.3738739	44.24037776
123.3828829	43.84333253
123.3918919	35.95495174
123.4009009	45.52560493
123.4099099	44.1921967
123.4189189	48.15984079
123.4279279	44.59615717
123.4369369	51.82424064
123.4459459	59.15650885
123.454955	59.76864564
123.463964	56.97256358
123.472973	55.31732045
123.481982	59.50659613
123.490991	60.6170624
123.5	61.81420145
123.509009	58.75167521
123.518018	57.71210975
123.527027	57.51416318
123.536036	66.86359237
123.545045	76.79575899
123.5540541	86.65997244
123.5630631	75.0142483
123.5720721	66.26099382
123.5810811	60.07245494
123.5900901	50.26657628
123.5990991	53.41604215
123.6081081	67.58572899
123.6171171	62.87889232
123.6261261	58.32420097
123.6351351	55.55981226
123.6441441	49.85656495
123.6531532	50.55154478
123.6621622	56.83663436
123.6711712	56.85309387
123.6801802	55.69862534
123.6891892	60.86113151
123.6981982	65.46386542
123.7072072	57.53067882
123.7162162	40.87807683
123.7252252	39.06776958
123.7342342	33.2037802
123.7432432	36.72704131
123.7522523	40.50339457
123.7612613	67.78556298
123.7702703	80.95115653
123.7792793	59.7446546
123.7882883	53.26170478
123.7972973	53.93700967
123.8063063	52.29909748
123.8153153	57.04382103
123.8243243	63.08444855
123.8333333	57.6363004
123.8423423	58.49301073
123.8513514	54.18785572
123.8603604	50.21003586
123.8693694	51.38646348
123.8783784	61.36014276
123.8873874	55.36190015
123.8963964	52.31418634
123.9054054	51.68941225
123.9144144	54.97036117
123.9234234	51.83443432
123.9324324	47.61817908
123.9414414	48.61782182
123.9504505	69.03209117
123.9594595	70.53210418
123.9684685	67.21517422
123.9774775	40.31485214
123.9864865	43.53880038
123.9954955	39.49405884
124.0044598	38.33721862
124.0222991	40.67805311
124.0401384	60.93790905
124.0579777	70.71962277
124.075817	62.33149897
124.0936563	62.89902803
124.1114955	67.26188233
124.1293348	50.8880207
124.1471741	56.71902207
124.1650134	57.84239426
124.1828527	47.85589605
124.200692	50.92309321
124.2185313	98.02163041
124.2363705	114.9142261
124.2542098	134.7612391
124.2720491	133.689346
124.2898884	127.5392838
124.3077277	113.8639766
124.325567	70.42784464
124.3434063	54.58496112
124.3612455	44.32636088
124.3790848	38.04469695
124.3969241	37.0542596
124.4147634	48.92906359
124.4326027	71.99629161
124.450442	80.30175894
124.4682813	87.91661935
124.4861205	99.72770652
124.5039598	95.25413086
124.5217991	55.68251549
124.5396384	45.40498494
124.5574777	48.25501932
124.575317	50.07726615
124.5931563	56.99738491
124.6109955	79.53901858
124.6288348	63.50319685
124.6466741	59.33738889
124.6645134	64.96395277
124.6823527	63.17619661
124.700192	58.41444055
124.7180313	67.79655325
124.7358705	80.40689168
124.7537098	63.6269392
124.7715491	51.3081293
124.7893884	55.42563519
124.8072277	76.51370983
124.825067	82.58524257
124.8429063	66.27307916
124.8607455	55.34596622
124.8785848	77.27485627
124.8964241	129.5099545
124.9142634	55.55629457
124.9321027	38.4261585
124.949942	65.43777312
124.9677813	59.5127973
124.9856205	35.27188109
125.004473	28.83410617
125.0134189	33.67419421
125.0223649	37.07535127
125.0313108	27.93210385
125.0402568	29.6112926
125.0492027	37.6226533
125.0581486	71.01625791
125.0670946	88.11546965
125.0760405	80.37999942
125.0849865	70.04873492
125.0939324	76.05764664
125.1028784	85.40525491
125.1118243	102.8549934
125.1207703	115.2923733
125.1347162	118.3846525
125.1436622	138.5252599
125.1526081	143.3357477
125.1615541	166.4052856
125.1705	175.0807349
125.1794459	213.9393557
125.1883919	231.5202294
125.1973378	280.9089872
125.2062838	284.5161015
125.2152297	348.1426156
125.2241757	394.8629329
125.2331216	403.323683
125.2420676	444.6316063
125.2510135	473.3243768
125.2599595	479.5557149
125.2689054	460.669433
125.2778514	447.2328859
125.2867973	411.3897271
125.2957432	355.1973312
125.3046892	298.8209149
125.3136351	211.5986044
125.3225811	199.1607171
125.331527	152.4375778
125.340473	136.94695
125.3494189	92.19344004
125.3583649	67.72966828
125.3673108	67.56129413
125.3762568	84.49965899
125.3852027	81.66382398
125.3941486	71.79409039
125.4030946	71.15562856
125.4120405	58.49803208
125.4209865	59.33244249
125.4299324	56.37251723
125.4388784	53.37001224
125.4478243	47.14729208
