Depth (m)	count	age (b1950)	MCE
130.984	1.0	1460.0	32.5
131.055	1.0	1461.0	32.5
131.153	1.0	1462.0	32.5
131.236	1.0	1463.0	32.5
131.273	1.0	1464.0	32.5
131.34	1.0	1465.0	32.5
131.477	1.0	1466.0	32.5
131.544	1.0	1467.0	32.5
131.589	1.0	1468.0	33.0
131.649	1.0	1469.0	33.0
131.754	1.0	1470.0	33.0
131.807	1.0	1471.0	33.0
131.864	1.0	1472.0	33.0
131.907	1.0	1473.0	33.0
131.943	1.0	1474.0	33.0
132.042	1.0	1475.0	33.0
132.1	1.0	1476.0	33.0
132.206	1.0	1477.0	33.0
132.269	1.0	1478.0	33.0
132.342	1.0	1479.0	33.0
132.415	1.0	1480.0	33.0
132.475	1.0	1481.0	33.0
132.547	1.0	1482.0	33.0
132.618	1.0	1483.0	33.0
132.704	1.0	1484.0	33.0
132.793	1.0	1485.0	33.0
132.859	1.0	1486.0	33.0
132.952	1.0	1487.0	33.0
133.011	1.0	1488.0	33.0
133.08	1.0	1489.0	33.0
133.163	1.0	1490.0	33.0
133.209	1.0	1491.0	33.0
133.272	1.0	1492.0	33.0
133.364	1.0	1493.0	33.0
133.439	1.0	1494.0	33.0
133.514	1.0	1495.0	33.0
133.56	1.0	1496.0	33.0
133.608	1.0	1497.0	33.0
133.662	1.0	1498.0	33.0
133.725	1.0	1499.0	33.0
133.783	1.0	1500.0	33.0
133.846	1.0	1501.0	33.0
133.91	1.0	1502.0	33.0
134.044	1.0	1503.0	33.0
134.1	1.0	1504.0	33.0
134.218	1.0	1505.0	33.0
134.275	1.0	1506.0	33.0
134.355	1.0	1507.0	33.0
134.427	1.0	1508.0	33.0
134.492	1.0	1509.0	33.0
134.553	1.0	1510.0	33.0
134.637	1.0	1511.0	33.0
134.707	1.0	1512.0	33.0
134.754	1.0	1513.0	33.0
134.827	1.0	1514.0	33.0
134.868	1.0	1515.0	33.5
134.954	1.0	1516.0	33.5
135.027	1.0	1517.0	33.5
135.097	1.0	1518.0	33.5
135.161	1.0	1519.0	33.5
135.244	1.0	1520.0	33.5
135.287	1.0	1521.0	33.5
135.376	1.0	1522.0	33.5
135.459	1.0	1523.0	33.5
135.532	1.0	1524.0	33.5
135.589	1.0	1525.0	33.5
135.659	1.0	1526.0	33.5
135.739	1.0	1527.0	33.5
135.804	1.0	1528.0	33.5
135.874	1.0	1529.0	33.5
135.928	1.0	1530.0	33.5
135.975	1.0	1531.0	34.0
136.041	1.0	1532.0	34.0
136.094	1.0	1533.0	34.0
136.186	1.0	1534.0	34.0
136.286	1.0	1535.0	34.0
136.346	1.0	1536.0	34.0
136.42	1.0	1537.0	34.0
136.471	1.0	1538.0	34.0
136.522	1.0	1539.0	34.0
136.578	1.0	1540.0	34.0
136.636	1.0	1541.0	34.0
136.721	1.0	1542.0	34.0
136.766	1.0	1543.0	34.0
136.838	1.0	1544.0	34.0
136.942	1.0	1545.0	34.0
136.988	1.0	1546.0	34.5
137.051	1.0	1547.0	34.5
137.102	1.0	1548.0	34.5
137.152	1.0	1549.0	34.5
137.212	1.0	1550.0	34.5
137.27	1.0	1551.0	34.5
137.321	1.0	1552.0	34.5
137.389	1.0	1553.0	34.5
137.477	1.0	1554.0	35.0
137.536	1.0	1555.0	35.0
137.604	1.0	1556.0	35.0
137.66	1.0	1557.0	35.0
137.719	1.0	1558.0	35.0
137.765	1.0	1559.0	35.0
137.846	1.0	1560.0	35.0
137.91	1.0	1561.0	35.0
138.025	1.0	1562.0	35.0
138.09	1.0	1563.0	35.0
138.161	1.0	1564.0	35.0
138.233	1.0	1565.0	35.0
138.293	1.0	1566.0	35.0
138.363	1.0	1567.0	35.0
138.449	1.0	1568.0	35.0
138.504	1.0	1569.0	35.0
138.619	1.0	1570.0	35.0
138.787	1.0	1571.0	35.0
138.874	1.0	1572.0	35.0
138.92	1.0	1573.0	35.0
139.01	1.0	1574.0	35.0
139.081	1.0	1575.0	35.0
139.166	1.0	1576.0	35.0
139.209	1.0	1577.0	35.5
139.274	1.0	1578.0	35.5
139.36	1.0	1579.0	35.5
139.432	1.0	1580.0	35.5
139.509	1.0	1581.0	35.5
139.575	1.0	1582.0	36.0
