Depth	Count	Age
156.693	1.0	1874.0
156.793	1.0	1875.0
156.855	1.0	1876.0
156.925	1.0	1877.0
157.005	1.0	1878.0
157.049	0.5	1878.5
157.105	1.0	1879.5
157.159	1.0	1880.5
157.235	1.0	1881.5
157.292	1.0	1882.5
157.365	1.0	1883.5
157.402	1.0	1884.5
157.507	1.0	1885.5
157.564	1.0	1886.5
157.59	0.5	1887.0
157.672	1.0	1888.0
157.748	1.0	1889.0
157.875	1.0	1890.0
157.946	1.0	1891.0
158.008	1.0	1892.0
158.097	1.0	1893.0
158.223	1.0	1894.0
158.291	1.0	1895.0
158.335	1.0	1896.0
158.448	1.0	1897.0
158.543	1.0	1898.0
158.62	1.0	1899.0
158.716	1.0	1900.0
158.772	1.0	1901.0
158.86	1.0	1902.0
158.945	1.0	1903.0
158.998	1.0	1904.0
159.071	1.0	1905.0
159.186	1.0	1906.0
159.276	1.0	1907.0
159.319	1.0	1908.0
159.403	1.0	1909.0
159.473	1.0	1910.0
159.516	1.0	1911.0
159.559	1.0	1912.0
159.635	1.0	1913.0
159.7	1.0	1914.0
159.75	1.0	1915.0
159.786	1.0	1916.0
159.872	1.0	1917.0
159.947	1.0	1918.0
160.017	1.0	1919.0
160.073	1.0	1920.0
160.136	1.0	1921.0
160.223	1.0	1922.0
160.287	1.0	1923.0
160.349	1.0	1924.0
160.398	1.0	1925.0
160.459	1.0	1926.0
160.509	1.0	1927.0
160.596	1.0	1928.0
160.669	1.0	1929.0
160.724	1.0	1930.0
160.779	1.0	1931.0
160.821	0.5	1931.5
160.857	1.0	1932.5
160.9	1.0	1933.5
160.961	1.0	1934.5
160.997	1.0	1935.5
161.085	1.0	1936.5
161.128	0.5	1937.0
161.156	1.0	1938.0
161.214	1.0	1939.0
161.267	1.0	1940.0
161.331	1.0	1941.0
161.409	1.0	1942.0
161.472	1.0	1943.0
161.54	1.0	1944.0
161.606	1.0	1945.0
161.703	1.0	1946.0
161.797	1.0	1947.0
161.858	1.0	1948.0
161.915	1.0	1949.0
161.963	1.0	1950.0
162.07	1.0	1951.0
162.12	1.0	1952.0
162.159	1.0	1953.0
162.231	1.0	1954.0
162.279	1.0	1955.0
162.353	1.0	1956.0
162.405	1.0	1957.0
162.444	0.5	1957.5
162.557	1.0	1958.5
162.622	1.0	1959.5
162.679	1.0	1960.5
162.741	1.0	1961.5
162.796	1.0	1962.5
162.872	1.0	1963.5
162.94	1.0	1964.5
163.008	1.0	1965.5
163.04	1.0	1966.5
163.082	1.0	1967.5
163.141	1.0	1968.5
163.203	1.0	1969.5
163.242	1.0	1970.5
163.295	1.0	1971.5
163.359	1.0	1972.5
163.417	1.0	1973.5
163.536	1.0	1974.5
163.588	1.0	1975.5
163.629	1.0	1976.5
163.681	1.0	1977.5
163.736	1.0	1978.5
163.822	1.0	1979.5
163.916	1.0	1980.5
163.983	1.0	1981.5
164.028	1.0	1982.5
164.104	0.5	1983.0
164.155	1.0	1984.0
164.228	1.0	1985.0
164.296	1.0	1986.0
164.348	1.0	1987.0
164.411	0.5	1987.5
164.443	1.0	1988.5
164.525	1.0	1989.5
164.569	1.0	1990.5
164.645	1.0	1991.5
164.688	1.0	1992.5
164.771	1.0	1993.5
164.838	1.0	1994.5
164.902	1.0	1995.5
164.947	1.0	1996.5
164.993	1.0	1997.5
165.018	1.0	1998.5
165.123	1.0	1999.5
165.213	1.0	2000.5
165.257	1.0	2001.5
165.341	1.0	2002.5
165.369	1.0	2003.5
165.42	1.0	2004.5
165.527	1.0	2005.5
165.62	1.0	2006.5
165.675	1.0	2007.5
165.73	1.0	2008.5
165.818	1.0	2009.5
165.96	1.0	2010.5
166.012	1.0	2011.5
166.138	1.0	2012.5
166.202	1.0	2013.5
166.283	1.0	2014.5
166.313	0.5	2015.0
166.389	1.0	2016.0
166.472	0.5	2016.5
166.522	1.0	2017.5
166.587	1.0	2018.5
166.659	1.0	2019.5
166.713	1.0	2020.5
166.772	1.0	2021.5
166.849	1.0	2022.5
166.927	1.0	2023.5
166.973	1.0	2024.5
167.044	1.0	2025.5
167.121	1.0	2026.5
167.188	1.0	2027.5
167.266	1.0	2028.5
167.32	0.5	2029.0
167.36	1.0	2030.0
167.439	0.5	2030.5
167.479	1.0	2031.5
167.559	0.5	2032.0
167.606	1.0	2033.0
167.665	1.0	2034.0
167.741	1.0	2035.0
167.778	1.0	2036.0
167.847	1.0	2037.0
167.879	1.0	2038.0
167.923	1.0	2039.0
167.997	1.0	2040.0
168.05	1.0	2041.0
168.131	1.0	2042.0
168.213	1.0	2043.0
168.276	1.0	2044.0
168.326	1.0	2045.0
168.388	1.0	2046.0
168.45	0.5	2046.5
168.497	1.0	2047.5
168.627	1.0	2048.5
168.701	1.0	2049.5
168.79	1.0	2050.5
168.861	1.0	2051.5
168.934	1.0	2052.5
168.967	1.0	2053.5
169.003	1.0	2054.5
169.06	1.0	2055.5
169.167	1.0	2056.5
169.226	1.0	2057.5
169.317	1.0	2058.5
169.409	1.0	2059.5
169.467	1.0	2060.5
169.54	1.0	2061.5
169.598	1.0	2062.5
169.655	1.0	2063.5
169.761	1.0	2064.5
169.79	1.0	2065.5
169.861	1.0	2066.5
169.917	1.0	2067.5
169.941	1.0	2068.5
169.995	1.0	2069.5
170.071	1.0	2070.5
170.105	1.0	2071.5
170.165	0.5	2072.0
170.222	1.0	2073.0
170.254	0.5	2073.5
170.314	1.0	2074.5
170.368	1.0	2075.5
170.436	1.0	2076.5
170.488	1.0	2077.5
170.57	1.0	2078.5
170.672	1.0	2079.5
170.761	1.0	2080.5
170.845	1.0	2081.5
170.881	1.0	2082.5
170.934	1.0	2083.5
170.991	1.0	2084.5
171.058	1.0	2085.5
171.15	1.0	2086.5
171.186	0.5	2087.0
171.239	1.0	2088.0
171.306	1.0	2089.0
171.379	1.0	2090.0
171.429	1.0	2091.0
171.515	1.0	2092.0
171.55	0.5	2092.5
171.606	1.0	2093.5
171.649	1.0	2094.5
171.686	1.0	2095.5
171.784	1.0	2096.5
171.83	1.0	2097.5
171.895	1.0	2098.5
171.933	1.0	2099.5
172.024	1.0	2100.5
172.08	1.0	2101.5
172.123	1.0	2102.5
172.233	1.0	2103.5
172.3	1.0	2104.5
172.387	1.0	2105.5
172.468	1.0	2106.5
172.544	1.0	2107.5
172.617	1.0	2108.5
172.691	1.0	2109.5
172.769	1.0	2110.5
172.874	1.0	2111.5
172.929	1.0	2112.5
173.009	1.0	2113.5
173.086	1.0	2114.5
173.143	1.0	2115.5
173.193	1.0	2116.5
173.25	1.0	2117.5
173.304	1.0	2118.5
173.375	1.0	2119.5
173.415	1.0	2120.5
173.469	1.0	2121.5
173.516	1.0	2122.5
173.587	1.0	2123.5
173.637	1.0	2124.5
173.734	1.0	2125.5
173.822	1.0	2126.5
173.887	1.0	2127.5
173.939	1.0	2128.5
173.999	1.0	2129.5
174.072	1.0	2130.5
174.139	1.0	2131.5
174.223	1.0	2132.5
174.29	1.0	2133.5
174.37	1.0	2134.5
174.436	1.0	2135.5
174.522	1.0	2136.5
174.585	1.0	2137.5
174.651	1.0	2138.5
174.693	1.0	2139.5
174.723	0.5	2140.0
174.777	1.0	2141.0
174.86	1.0	2142.0
174.934	0.5	2142.5
174.978	1.0	2143.5
175.019	1.0	2144.5
175.059	1.0	2145.5
175.101	1.0	2146.5
175.161	1.0	2147.5
175.221	1.0	2148.5
175.275	0.5	2149.0
175.313	1.0	2150.0
175.393	1.0	2151.0
175.455	1.0	2152.0
175.52	1.0	2153.0
175.582	1.0	2154.0
175.637	1.0	2155.0
175.736	1.0	2156.0
175.773	1.0	2157.0
175.819	1.0	2158.0
175.906	1.0	2159.0
175.969	1.0	2160.0
176.022	1.0	2161.0
176.083	1.0	2162.0
176.146	1.0	2163.0
176.222	1.0	2164.0
176.327	1.0	2165.0
176.367	1.0	2166.0
176.42	1.0	2167.0
176.528	1.0	2168.0
176.586	1.0	2169.0
176.67	1.0	2170.0
176.77	1.0	2171.0
176.818	1.0	2172.0
176.875	1.0	2173.0
176.946	1.0	2174.0
177.021	1.0	2175.0
177.107	1.0	2176.0
177.155	1.0	2177.0
177.223	1.0	2178.0
177.304	1.0	2179.0
177.393	1.0	2180.0
177.432	0.5	2180.5
177.478	1.0	2181.5
177.569	1.0	2182.5
177.643	1.0	2183.5
177.688	1.0	2184.5
177.724	0.5	2185.0
177.761	1.0	2186.0
177.816	0.5	2186.5
177.868	1.0	2187.5
177.926	1.0	2188.5
177.972	1.0	2189.5
178.013	1.0	2190.5
178.08	1.0	2191.5
178.154	1.0	2192.5
178.203	1.0	2193.5
178.232	0.5	2194.0
178.28	1.0	2195.0
178.328	1.0	2196.0
178.39	1.0	2197.0
178.468	1.0	2198.0
178.523	1.0	2199.0
178.583	1.0	2200.0
178.625	0.5	2200.5
178.657	1.0	2201.5
178.703	1.0	2202.5
178.767	1.0	2203.5
178.825	1.0	2204.5
178.906	1.0	2205.5
178.933	1.0	2206.5
178.986	1.0	2207.5
179.059	1.0	2208.5
179.104	1.0	2209.5
179.156	1.0	2210.5
179.22	1.0	2211.5
179.295	0.5	2212.0
179.333	1.0	2213.0
179.376	1.0	2214.0
179.474	1.0	2215.0
179.521	1.0	2216.0
179.576	1.0	2217.0
179.647	1.0	2218.0
179.719	1.0	2219.0
179.786	1.0	2220.0
179.868	1.0	2221.0
179.935	1.0	2222.0
180.02	1.0	2223.0
180.082	1.0	2224.0
180.19	1.0	2225.0
180.231	1.0	2226.0
180.283	1.0	2227.0
180.34	1.0	2228.0
180.437	1.0	2229.0
180.499	0.5	2229.5
180.549	1.0	2230.5
180.619	1.0	2231.5
180.702	1.0	2232.5
180.75	0.5	2233.0
180.798	1.0	2234.0
180.878	1.0	2235.0
180.948	1.0	2236.0
181.013	1.0	2237.0
181.075	0.5	2237.5
181.132	1.0	2238.5
181.219	1.0	2239.5
181.269	1.0	2240.5
181.355	1.0	2241.5
181.457	1.0	2242.5
181.525	1.0	2243.5
181.567	1.0	2244.5
181.597	1.0	2245.5
181.631	1.0	2246.5
181.748	1.0	2247.5
181.843	1.0	2248.5
181.911	1.0	2249.5
181.964	1.0	2250.5
182.013	0.5	2251.0
182.103	1.0	2252.0
182.16	1.0	2253.0
182.248	1.0	2254.0
182.327	1.0	2255.0
182.391	1.0	2256.0
182.462	1.0	2257.0
182.51	0.5	2257.5
182.587	1.0	2258.5
182.631	0.5	2259.0
182.662	1.0	2260.0
182.752	1.0	2261.0
182.813	1.0	2262.0
182.866	1.0	2263.0
182.908	1.0	2264.0
182.977	1.0	2265.0
183.057	1.0	2266.0
183.112	1.0	2267.0
183.182	1.0	2268.0
183.237	1.0	2269.0
183.301	1.0	2270.0
183.359	1.0	2271.0
183.436	1.0	2272.0
183.506	1.0	2273.0
183.556	1.0	2274.0
183.619	1.0	2275.0
183.698	1.0	2276.0
183.739	1.0	2277.0
183.807	1.0	2278.0
183.848	0.5	2278.5
183.883	1.0	2279.5
183.944	1.0	2280.5
184.018	1.0	2281.5
184.056	0.5	2282.0
184.124	1.0	2283.0
184.2	1.0	2284.0
184.271	1.0	2285.0
184.332	1.0	2286.0
184.398	0.5	2286.5
184.467	1.0	2287.5
184.523	1.0	2288.5
184.597	1.0	2289.5
184.644	1.0	2290.5
