Depth_m,nssS
24.985,-0.335
25.0,-0.372
25.016,-0.366
25.032,-0.374
25.047,-0.333
25.063,-0.28
25.079,-0.201
25.094,-0.192
25.11,-0.184
25.126,-0.132
25.141,-0.104
25.157,-0.079
25.172,-0.175
25.188,-0.204
25.204,-0.351
25.219,-0.451
25.235,-0.587
25.25,-0.738
25.266,-0.827
25.282,-0.649
25.297,-0.465
25.313,-0.223
25.328,-0.073
25.344,0.009
25.422,0.482
25.438,0.553
25.453,0.683
25.469,0.759
25.484,0.709
25.5,0.704
25.515,0.596
25.531,0.526
25.547,0.331
25.562,0.145
25.578,0.009
25.593,-0.069
25.609,-0.17
25.624,-0.257
25.64,-0.337
25.656,-0.31
25.671,-0.224
25.687,-0.118
25.702,-0.044
25.718,-0.095
25.733,-0.265
25.749,-0.226
25.765,0.023
25.78,0.029
25.796,-0.078
25.811,-0.237
25.827,-0.381
25.842,-0.454
25.858,-0.517
25.873,-0.592
25.889,-0.666
25.904,-0.671
25.92,-0.675
25.936,-0.601
25.951,-0.557
25.967,-0.455
25.982,-0.379
25.998,-0.282
26.029,-0.227
26.044,-0.152
26.06,-0.091
26.075,-0.007
26.091,0.001
26.106,-0.073
26.122,-0.154
26.137,-0.269
26.153,-0.332
26.168,-0.471
26.184,-0.596
26.199,-0.805
26.215,-0.921
26.23,-1.062
26.246,-1.173
26.261,-1.205
26.277,-1.183
26.292,-1.071
26.308,-0.864
26.323,-0.61
26.339,-0.398
26.354,-0.216
26.37,0.004
26.385,0.146
26.401,0.25
26.416,0.345
26.432,0.391
26.447,0.337
26.463,0.29
26.478,0.191
26.494,0.181
26.509,0.102
26.525,0.048
26.54,0.044
26.556,0.002
26.571,0.037
26.587,0.111
26.602,0.31
26.618,0.5
26.633,0.67
26.649,0.855
26.664,1.096
26.679,1.232
26.695,1.352
26.71,1.406
26.726,1.454
26.741,1.422
26.757,1.321
26.772,1.181
26.788,1.007
26.803,0.773
26.818,0.6
26.834,0.453
26.849,0.262
26.865,0.138
26.88,0.024
26.896,-0.097
26.911,-0.138
26.927,-0.148
26.942,-0.12
26.957,-0.076
26.973,-0.083
26.988,-0.079
27.004,-0.082
27.019,-0.038
27.035,0.017
27.05,0.069
27.065,0.114
27.081,0.092
27.096,0.106
27.112,0.013
27.127,-0.05
27.143,-0.186
27.158,-0.256
27.173,-0.306
