Depth,S
1311.785,10.633
1311.795,10.923
1311.805,11.577
1311.815,11.806
1311.825,11.77
1311.835,12.001
1311.845,12.647
1311.855,13.417
1311.865,14.041
1311.875,15.22
1311.885,16.054
1311.895,16.004
1311.905,15.389
1311.915,14.787
1311.925,14.902
1311.935,13.85
1311.945,12.066
1311.955,11.161
1311.965,10.73
1311.975,9.697
1311.985,9.396
1311.995,9.834
1312.005,10.225
1312.015,10.133
1312.025,9.985
1312.035,10.188
1312.045,11.133
1312.055,11.558
1312.065,12.797
1312.075,14.341
1312.085,15.297
1312.095,14.982
1312.105,15.443
1312.115,16.424
1312.125,15.935
1312.135,14.317
1312.145,12.636
1312.155,12.207
1312.165,11.249
1312.175,9.669
1312.185,8.896
1312.195,9.006
1312.205,9.727
1312.215,10.673
1312.225,12.058
1312.235,14.571
1312.245,15.672
1312.255,15.452
1312.265,15.536
1312.275,16.124
1312.285,14.926
1312.295,12.984
1312.305,11.772
1312.315,11.143
1312.325,10.23
1312.335,9.429
1312.345,9.312
1312.355,9.978
1312.365,11.033
1312.375,12.668
1312.385,15.422
1312.395,18.329
1312.405,19.18
1312.415,17.367
1312.425,16.435
1312.435,15.156
1312.445,13.198
1312.455,11.343
1312.465,10.338
1312.475,9.283
1312.485,7.514
1312.495,7.694
1312.505,9.346
1312.515,11.243
1312.525,12.961
1312.535,14.042
1312.545,14.921
1312.555,15.647
1312.565,14.303
1312.585,12.44
1312.595,10.499
1312.605,10.568
1312.615,10.789
1312.625,10.335
1312.635,10.194
1312.645,10.994
1312.655,12.002
1312.665,12.723
1312.675,13.207
1312.685,14.644
1312.695,15.119
1312.705,14.286
1312.715,13.114
1312.725,11.989
1312.735,11.527
1312.745,10.308
1312.755,8.985
1312.765,9.181
1312.775,9.75
1312.785,10.077
1312.795,10.725
1312.805,11.909
1312.815,13.365
1312.825,13.689
1312.835,13.865
1312.845,14.599
1312.855,13.794
1312.865,11.439
1312.875,10.637
1312.885,10.752
1312.895,9.894
1312.905,8.89
1312.915,9.571
1312.925,10.712
1312.935,10.833
1312.945,11.129
1312.955,12.137
1312.965,12.892
1312.975,12.776
1312.985,12.973
1312.995,13.363
1313.005,13.137
1313.015,12.519
1313.025,12.265
1313.035,11.733
1313.045,11.697
1313.055,12.069
1313.065,12.275
1313.075,13.083
1313.085,14.205
1313.095,14.132
1313.105,13.49
1313.115,12.764
1313.125,11.659
1313.135,9.648
1313.145,8.736
1313.155,8.557
1313.165,8.035
1313.175,7.812
1313.185,8.201
1313.195,9.316
1313.205,11.008
1313.215,12.133
1313.415,12.386
1313.425,12.821
1313.435,14.299
1313.445,14.234
1313.455,11.855
1313.465,10.882
1313.475,10.912
1313.485,10.924
1313.495,10.526
1313.505,10.203
1313.515,11.266
1313.525,12.916
1313.535,13.576
1313.545,14.556
1313.555,15.353
1313.565,14.719
1313.575,12.52
1313.585,10.776
1313.595,10.085
1313.605,9.288
1313.615,9.208
1313.625,8.717
1313.635,9.186
1313.645,10.02
1313.655,9.912
1313.665,9.677
1313.675,9.902
1313.685,11.069
1313.695,11.145
1313.755,10.308
1313.765,9.19
1313.775,9.016
1313.785,9.683
1313.795,9.48
1313.805,9.069
1313.815,9.312
1313.825,9.061
1313.835,8.557
1313.845,8.803
1313.855,10.111
1313.865,10.707
1313.875,10.797
1313.885,12.065
1313.895,14.742
1313.905,16.583
1313.915,17.674
1313.925,19.368
1313.935,18.849
1313.945,15.253
1313.955,12.99
1313.965,11.895
1313.975,11.147
1313.985,10.544
1313.995,11.089
1314.005,11.606
1314.015,9.808
1314.025,8.675
1314.035,9.111
1314.045,9.806
1314.055,9.797
1314.065,11.605
1314.075,12.738
1314.085,12.913
1314.095,13.784
1314.105,15.996
1314.115,18.711
1314.135,18.327
1314.145,15.571
1314.155,14.727
1314.165,14.223
1314.175,13.434
1314.185,13.393
1314.195,13.793
1314.205,13.6
1314.215,13.359
1314.225,13.599
1314.235,13.367
1314.245,11.249
1314.255,10.236
1314.265,10.291
1314.275,10.306
1314.285,9.686
1314.295,10.963
1314.305,12.616
1314.315,12.479
1314.325,12.41
1314.335,14.525
1314.345,15.455
1314.355,13.196
1314.365,12.925
1314.375,13.951
1314.385,12.711
1314.395,10.358
1314.405,9.66
1314.415,10.049
1314.425,9.728
1314.435,9.669
1314.445,11.208
1314.455,12.326
1314.465,12.611
1314.475,15.469
1314.485,19.014
1314.495,20.396
1314.505,21.666
1314.515,25.232
1314.525,26.381
1314.535,21.702
1314.545,15.822
1314.555,12.958
1314.565,12.711
1314.575,11.286
1314.585,11.536
1314.595,11.46
1314.605,10.083
1314.615,9.701
1314.625,10.359
1314.635,10.856
1314.645,10.774
1314.655,11.206
1314.665,12.162
1314.675,12.342
1314.685,11.133
1314.695,10.601
1314.705,9.614
1314.715,8.365
1314.725,9.854
1314.735,11.579
1314.745,11.656
1314.755,12.837
1314.765,14.81
1314.775,16.928
1314.785,18.129
1314.795,18.171
1314.805,17.972
1314.815,16.626
1314.825,14.022
1314.835,11.524
1314.845,8.222
1314.855,7.926
1314.865,8.126
1314.875,9.256
1314.885,11.299
1314.895,12.919
1314.905,14.513
1314.915,16.389
1314.925,18.417
1314.935,18.724
1314.945,17.359
1314.955,16.867
1314.965,16.802
1314.975,15.639
1314.985,13.713
1314.995,12.088
1315.005,11.039
1315.015,9.947
1315.025,9.481
1315.035,9.569
1315.045,9.238
1315.055,8.747
1315.065,8.812
1315.075,9.778
1315.085,10.744
1315.095,10.658
1315.105,11.473
1315.115,13.864
1315.125,15.804
1315.135,15.525
1315.145,15.742
1315.155,15.287
1315.165,14.074
1315.175,12.494
1315.185,11.704
1315.195,11.282
1315.205,10.277
1315.215,8.976
1315.225,8.699
1315.235,8.581
1315.245,8.357
1315.255,8.662
1315.265,9.621
1315.275,9.39
1315.285,8.57
1315.295,8.425
1315.305,9.124
1315.315,9.644
1315.325,9.226
1315.335,10.443
1315.345,12.645
1315.355,13.885
1315.365,13.306
1315.375,13.286
1315.385,13.755
1315.395,12.196
1315.415,9.929
1315.425,10.308
1315.435,11.488
1315.445,11.649
1315.455,11.837
1315.465,14.245
1315.475,16.579
1315.485,16.837
1315.495,15.935
1315.505,15.317
1315.515,14.377
1315.525,11.994
1315.535,9.965
1315.545,9.374
1315.555,8.876
1315.565,7.917
1315.575,8.03
1315.585,8.831
1315.595,9.291
1315.605,8.977
1315.615,10.342
1315.625,13.053
1315.635,14.585
1315.645,15.056
1315.655,15.98
1315.665,16.533
1315.675,14.644
1315.685,11.732
1315.695,11.119
1315.705,12.308
1315.715,13.792
1315.725,15.238
1315.735,16.423
1315.745,15.827
1315.755,13.335
1315.765,12.085
1315.775,12.14
1315.785,13.08
1315.795,14.625
1315.805,17.981
1315.815,23.682
1315.825,25.104
1315.835,20.473
1315.845,16.506
1315.855,14.158
1315.865,11.157
