Depth_m,nssS_Na_ratio
18.219,-0.403
18.235,-0.381
18.252,-0.344
18.268,-0.339
18.285,-0.399
18.301,-0.447
18.318,-0.486
18.334,-0.529
18.351,-0.548
18.367,-0.572
18.384,-0.565
18.4,-0.509
18.417,-0.439
18.433,-0.352
18.45,-0.158
18.466,0.156
18.483,0.539
18.499,1.218
18.515,2.265
18.532,3.126
18.548,3.574
18.565,3.833
18.581,3.644
18.598,3.183
18.614,3.271
18.631,2.82
18.647,2.019
18.663,1.655
18.68,1.23
18.696,0.826
18.713,0.541
18.729,0.325
18.745,0.096
18.762,-0.087
18.778,-0.21
18.795,-0.282
18.811,-0.335
18.827,-0.367
18.844,-0.349
18.86,-0.297
18.877,-0.202
18.893,-0.038
18.909,0.112
18.926,0.239
18.942,0.334
18.959,0.289
18.975,0.161
18.991,-0.025
19.008,-0.177
19.024,-0.359
19.04,-0.518
19.057,-0.617
19.073,-0.677
19.089,-0.719
19.106,-0.734
19.122,-0.739
19.139,-0.742
19.155,-0.733
19.171,-0.715
19.188,-0.693
19.204,-0.664
19.22,-0.65
19.237,-0.645
19.253,-0.627
19.269,-0.64
19.286,-0.649
19.302,-0.687
19.318,-0.743
19.335,-0.772
19.351,-0.801
19.367,-0.825
19.384,-0.846
19.4,-0.855
19.416,-0.854
19.433,-0.837
19.449,-0.797
19.465,-0.718
19.482,-0.547
19.498,-0.282
19.514,0.111
19.53,0.223
19.547,0.074
19.563,-0.082
19.579,-0.225
19.596,-0.328
19.612,-0.421
19.628,-0.448
19.644,-0.431
19.661,-0.381
19.677,-0.267
19.693,-0.136
19.709,-0.015
19.726,0.172
19.742,0.389
19.758,0.552
19.775,0.66
19.791,0.756
19.807,0.79
19.823,0.756
19.84,0.498
19.856,0.186
19.872,-0.15
19.888,-0.466
19.921,-0.654
19.937,-0.781
19.953,-0.844
19.97,-0.882
19.986,-0.911
20.002,-0.921
20.018,-0.91
20.034,-0.895
20.051,-0.849
20.067,-0.766
20.083,-0.666
20.099,-0.442
20.116,-0.126
20.132,0.26
20.148,0.544
20.164,0.703
20.181,0.734
20.197,0.568
20.213,0.339
20.229,0.155
20.245,-0.042
20.262,-0.197
20.278,-0.303
20.294,-0.367
20.31,-0.39
20.326,-0.444
20.342,-0.49
20.359,-0.532
20.375,-0.548
20.391,-0.587
20.407,-0.615
20.423,-0.597
20.44,-0.573
20.456,-0.518
20.472,-0.398
20.488,-0.227
20.504,-0.091
20.52,0.004
20.537,0.044
20.553,-0.048
20.569,-0.258
20.585,-0.421
20.601,-0.522
20.617,-0.558
20.633,-0.579
20.65,-0.6
20.666,-0.608
20.682,-0.611
20.698,-0.615
20.714,-0.611
20.73,-0.598
20.746,-0.603
20.762,-0.604
20.779,-0.607
20.795,-0.581
