Depth(m),NO3(ng/g)
597.1832000000063,39.3700342501451
597.2065000000063,34.907264735973996
597.2298000000062,25.32176065402508
597.2531000000062,20.708565289992773
597.2764000000061,24.304178852819845
597.299700000006,27.384065688689375
597.323000000006,28.88479631501926
597.346300000006,24.813255650620956
597.3696000000059,22.98007630929991
597.3929000000059,24.54921594492847
597.4162000000058,29.718062510472567
597.4395000000058,29.828687422534028
597.4628000000057,28.3142845842394
597.4861000000056,29.314386276631197
597.5094000000056,29.143135312520215
597.5327000000055,29.402121561527572
597.5560000000055,27.82797499792013
597.5793000000054,22.127127447410764
597.6259000000053,12.616945551218826
597.6492000000053,11.784045031955957
597.6725000000052,20.285365557917668
597.7230000000053,25.63334652143377
597.7492000000053,21.129138380600768
597.7754000000053,17.48297654366128
597.8016000000054,19.930410884164704
597.8278000000054,28.61004498168838
597.8540000000054,22.16339280107167
597.8802000000054,30.129020287929837
597.9064000000054,0.6169120130659771
597.9326000000054,32.49701463195658
597.9588000000055,31.667505842633076
597.9850000000055,24.353225337757983
598.0112000000055,30.77700620726647
598.0374000000055,25.158684355002023
598.0898000000055,17.27782357371541
598.1160000000056,25.792671418137367
598.1422000000056,16.69429110343762
598.1684000000056,17.863843706550917
598.1946000000056,31.759459214457998
598.2208000000056,30.21120370779886
598.2470000000056,31.673091354692456
598.2732000000057,26.490905370387395
