Depth_m,Na
49.661,0.573
49.674,0.549
49.688,0.336
49.701,0.021
49.862,0.113
49.875,0.461
49.888,0.74
49.902,0.813
49.915,0.653
49.929,0.323
50.156,0.051
50.169,0.285
50.183,0.51
50.196,0.621
50.209,0.569
50.223,0.375
50.236,0.03
50.383,0.209
50.396,0.895
50.409,1.781
50.423,2.856
50.436,4.294
50.449,6.028
50.463,6.83
50.476,5.976
50.489,4.344
50.503,2.868
50.516,2.061
50.529,1.299
50.543,0.284
50.663,0.135
50.676,0.215
50.889,0.469
50.902,0.711
50.915,0.649
50.929,0.281
50.995,0.32
51.009,0.642
51.022,0.75
51.035,0.804
51.048,0.685
51.062,0.389
51.075,0.03
51.539,0.177
51.553,0.524
51.566,0.94
51.579,1.268
51.592,1.228
51.605,0.502
51.751,0.132
51.764,0.459
51.778,0.682
51.791,0.776
51.804,0.7
51.817,0.359
51.91,0.317
51.923,0.564
51.936,0.574
51.95,0.211
52.042,0.255
52.055,0.655
52.068,0.784
52.082,0.712
52.095,0.566
52.108,0.517
52.121,0.573
52.134,0.766
52.148,1.008
52.161,0.878
52.174,0.5
52.28,0.443
52.293,1.084
52.306,1.601
52.319,1.875
52.332,1.786
52.346,1.272
52.359,0.445
52.451,0.123
52.464,0.299
52.477,0.215
52.557,0.349
52.57,0.881
52.583,1.461
52.596,1.809
52.609,1.674
52.622,1.116
52.636,0.453
53.069,0.044
53.083,0.264
53.096,0.289
53.109,0.159
53.279,0.011
53.293,0.038
53.384,0.001
53.528,0.396
53.542,1.049
53.555,1.932
53.568,2.75
53.581,3.126
53.594,2.821
53.607,2.959
53.62,2.917
53.633,2.87
53.646,3.224
53.659,3.506
53.672,3.147
53.686,2.24
53.699,1.243
53.712,0.565
53.725,0.185
53.738,0.155
53.751,0.41
53.764,0.88
53.777,1.444
53.79,1.832
53.803,1.777
53.816,1.151
53.829,0.268
53.921,0.052
54.078,0.198
54.091,0.375
54.104,0.397
54.117,0.08
54.339,0.333
54.352,0.682
54.365,0.529
54.378,0.092
54.886,0.283
54.899,0.697
54.912,0.575
54.925,0.18
54.951,0.216
54.964,0.433
54.977,0.603
54.989,0.888
55.002,1.15
55.015,1.268
55.028,1.101
55.041,0.578
55.093,0.392
55.106,0.822
55.119,1.045
55.132,1.08
55.145,1.001
55.158,0.996
55.171,1.169
55.184,1.485
55.197,1.809
55.21,2.126
55.223,2.375
55.236,2.517
55.249,2.296
55.262,1.728
55.275,1.125
55.288,0.522
55.444,0.252
55.457,0.752
55.47,3.228
55.483,5.026
55.495,3.425
55.508,1.686
55.521,0.604
55.534,0.046
55.741,0.027
55.897,0.028
55.91,0.109
55.922,0.155
55.935,0.009
56.013,0.321
56.026,0.363
56.039,0.001
56.168,0.172
56.181,0.526
56.194,0.777
56.207,0.811
56.22,0.556
56.232,0.079
56.568,0.139
56.581,0.381
56.593,0.75
56.606,1.303
56.619,1.67
56.632,1.451
56.645,0.743
56.722,0.004
56.735,0.691
56.748,0.98
56.761,1.03
56.774,0.848
56.786,0.463
56.799,0.091
56.812,0.133
56.825,0.577
56.838,1.188
56.851,1.512
56.864,1.274
56.876,0.831
56.889,0.556
56.902,0.396
56.915,0.337
56.928,0.262
57.288,0.407
57.3,0.744
57.313,1.095
57.326,1.94
57.339,2.796
57.352,3.036
57.365,2.34
57.377,1.25
57.39,0.121
57.442,0.054
57.454,0.471
57.467,0.941
57.48,1.333
57.493,1.484
57.506,1.416
57.519,1.049
57.531,0.596
57.544,0.167
57.583,0.273
57.595,0.231
57.608,0.009
57.621,0.107
57.634,0.198
57.647,0.396
57.659,0.562
57.672,0.618
57.685,0.634
57.698,0.514
57.711,0.155
57.89,0.384
57.903,0.946
57.915,1.446
57.928,1.57
57.941,1.473
57.954,1.356
57.966,1.019
57.979,0.31
58.145,0.306
58.158,0.888
58.171,1.182
58.184,1.145
58.196,0.886
58.209,0.643
58.222,0.362
58.35,0.24
58.362,0.65
58.375,1.08
58.388,1.179
58.401,0.731
58.413,0.033
58.554,0.137
58.566,0.244
58.579,0.274
58.592,0.815
58.605,1.869
58.617,2.214
58.63,1.837
58.643,1.149
58.656,0.598
58.668,0.294
58.681,0.08
58.809,0.161
58.821,0.405
58.834,0.468
58.847,0.402
58.859,0.562
58.872,0.713
58.885,0.359
59.139,0.206
59.152,0.787
59.165,1.36
59.177,1.773
59.19,2.108
59.203,1.932
59.215,1.097
59.228,0.269
59.368,0.357
59.381,0.598
59.393,0.605
59.406,0.489
59.419,0.116
59.875,0.228
59.888,0.673
59.9,1.194
59.913,1.895
59.926,2.406
59.938,2.405
59.951,2.354
59.964,1.711
59.976,1.369
59.989,1.481
60.002,1.674
60.014,1.585
60.027,0.981
60.04,0.243
60.204,0.085
60.659,0.061
60.671,0.494
60.684,0.935
60.696,1.11
60.709,0.978
60.722,0.674
60.734,0.371
60.747,0.099
60.759,0.009
60.772,0.049
60.785,0.09
60.797,0.005
60.835,0.118
60.848,0.181
60.86,0.8
60.873,2.0
60.885,2.081
60.898,2.069
60.911,1.427
60.923,0.627
60.936,0.132
61.011,0.101
61.024,0.239
61.037,0.277
61.049,0.503
61.062,0.499
61.074,0.415
61.087,0.138
61.1,0.252
61.112,0.212
61.125,0.195
61.137,0.369
61.15,0.162
61.188,0.067
61.2,0.551
61.213,0.996
61.225,1.12
61.238,0.6
61.339,0.07
61.351,0.211
61.364,0.111
61.439,0.14
61.452,0.405
61.464,0.455
61.477,0.37
61.489,0.358
61.502,0.334
61.514,0.273
61.527,0.155
61.615,1.716
61.628,1.326
61.64,0.883
61.653,0.511
61.665,0.065
62.054,0.055
62.066,0.155
62.079,0.013
62.317,0.053
62.329,0.13
62.342,0.487
62.354,0.699
62.367,0.609
62.379,0.4
62.392,0.303
62.405,0.35
62.417,0.343
62.43,0.193
62.517,0.109
62.53,0.618
62.542,1.376
62.555,2.286
62.567,2.889
62.58,2.991
62.592,2.119
62.605,0.85
62.617,0.106
62.642,0.031
62.655,0.059
62.667,0.058
62.68,0.106
62.692,0.246
62.705,0.279
62.717,0.145
62.842,0.075
62.854,0.306
62.867,0.449
62.879,0.427
62.892,0.212
63.017,0.105
63.029,0.102
63.041,0.047
63.054,0.06
63.253,0.183
63.266,0.68
63.278,0.987
63.291,0.732
63.303,0.121
63.428,0.274
63.44,1.182
63.453,1.868
63.465,2.303
63.478,2.535
63.49,2.523
63.502,2.202
63.515,1.627
63.527,0.922
63.54,0.127
63.677,0.01
63.689,0.561
63.702,0.907
63.714,1.479
63.726,2.128
63.739,2.241
63.751,1.984
63.764,1.533
63.776,0.877
63.789,0.144
63.876,0.114
63.888,0.369
63.9,0.748
63.913,1.016
63.925,1.099
63.938,1.192
63.95,1.293
63.963,1.174
63.975,1.057
63.987,0.763
64.0,0.22
64.223,0.138
64.236,0.149
64.446,0.052
64.459,0.266
64.471,0.463
64.484,0.624
64.496,0.787
64.508,0.822
64.521,0.677
64.533,0.598
64.546,0.553
64.558,0.034
64.669,0.195
64.682,1.073
64.694,1.888
64.707,2.925
64.719,4.28
64.731,5.092
64.744,5.023
64.756,3.93
64.768,2.552
64.781,1.52
64.793,0.812
64.806,0.148
65.016,0.141
65.028,0.303
65.041,0.344
65.053,0.369
65.065,0.442
65.078,0.589
65.09,0.806
65.102,1.036
65.115,1.153
65.127,1.088
65.139,0.794
65.152,0.289
65.238,0.178
65.251,0.571
65.263,0.88
65.275,1.039
65.288,0.98
65.3,0.678
65.312,0.281
65.547,0.017
65.559,0.172
65.571,0.242
65.584,0.194
65.596,0.072
65.621,0.005
65.633,0.229
65.645,0.448
65.658,0.444
65.67,0.149
65.88,0.229
65.892,0.95
65.904,1.798
65.917,2.369
65.929,2.546
65.941,1.648
66.015,0.088
66.027,0.719
66.04,1.327
66.052,1.95
66.064,2.504
66.077,2.891
66.089,3.082
66.101,2.806
66.114,1.694
66.126,0.316
66.298,0.05
66.31,0.452
66.323,0.862
66.335,1.178
66.347,1.238
66.359,1.02
66.372,0.714
66.384,0.498
66.396,0.075
66.568,0.051
66.581,0.372
66.593,0.677
66.605,0.867
66.618,0.881
66.63,0.648
66.642,0.238
66.875,0.029
66.986,0.086
66.998,0.053
67.108,0.463
67.12,0.524
67.133,0.555
67.145,0.58
67.157,0.584
67.169,0.452
67.182,0.17
67.378,0.079
67.39,0.606
67.402,1.414
67.414,2.136
67.427,2.585
67.439,2.296
67.451,1.11
67.463,0.352
67.476,0.103
67.488,0.271
67.5,0.447
67.512,0.42
67.524,0.179
67.537,0.016
67.586,0.735
67.598,1.094
67.61,1.79
67.622,2.579
67.635,2.907
67.647,2.54
67.659,1.948
67.671,1.482
67.683,1.437
67.696,1.013
67.708,0.245
67.745,0.155
67.757,0.17
67.879,0.717
67.891,1.897
67.903,3.367
67.916,4.564
67.928,5.079
67.94,4.858
67.952,4.12
67.965,2.888
67.977,1.461
67.989,0.45
68.099,0.063
68.111,0.324
68.123,0.554
68.135,0.669
68.148,0.739
68.16,0.912
68.172,0.747
68.184,0.608
68.196,0.638
68.209,0.528
68.221,0.08
68.428,0.385
68.44,0.912
68.453,1.243
68.465,0.97
68.477,0.19
68.538,0.233
68.55,0.483
68.562,0.55
68.575,0.499
68.587,0.26
68.599,0.07
68.782,0.129
68.794,0.47
68.806,0.789
68.818,1.114
68.83,1.322
68.842,1.2
68.855,0.774
68.867,0.291
69.001,0.033
