Depth_m,nh4
42.57,1.218
42.584,1.32
42.598,1.32
42.612,1.216
42.626,0.908
42.64,0.497
42.654,0.086
43.185,0.179
43.199,0.484
43.213,0.789
43.226,0.992
43.24,1.296
43.254,1.498
43.268,1.7
43.282,1.594
43.296,1.488
43.31,1.075
43.324,0.457
43.839,0.274
43.852,0.378
43.866,0.276
43.991,0.063
44.005,0.167
44.019,0.374
44.033,0.479
44.047,0.482
44.061,0.074
44.144,0.382
44.158,0.993
44.171,1.298
44.185,1.295
44.199,1.089
44.213,0.781
44.227,0.27
44.351,0.17
44.365,0.579
44.379,0.885
44.393,1.19
44.407,1.496
44.421,1.904
44.434,2.006
44.448,1.699
44.462,0.984
44.476,0.371
44.531,0.071
44.545,0.281
44.559,0.596
44.573,0.912
44.587,1.228
44.6,1.439
44.614,1.34
44.628,1.034
44.642,0.524
44.656,0.013
44.725,0.225
44.738,0.536
44.752,0.85
44.766,1.167
44.78,1.59
44.794,2.015
44.807,2.343
44.821,2.571
44.835,2.593
44.849,2.301
44.863,1.796
44.876,1.287
44.89,0.673
44.904,0.161
44.987,0.141
45.001,0.442
45.014,0.744
45.028,0.945
45.042,0.942
45.056,0.94
45.069,0.631
45.083,0.221
45.248,0.027
45.262,0.236
45.276,0.342
45.29,0.345
45.303,0.348
45.317,0.35
45.331,0.352
45.345,0.252
45.358,0.151
45.372,0.049
46.154,0.041
46.168,0.043
46.291,0.032
46.305,0.237
46.318,0.237
46.332,0.34
46.346,0.341
46.359,0.342
46.373,0.343
46.387,0.241
46.4,0.139
46.414,0.036
46.469,0.232
46.482,0.536
46.496,0.839
46.51,1.143
46.523,1.447
46.537,1.649
46.551,1.545
46.564,1.339
46.578,1.133
46.592,0.826
46.605,0.621
46.619,0.314
46.632,0.007
46.755,0.037
46.769,0.351
46.783,0.869
46.796,1.285
46.81,1.699
46.823,1.907
46.837,2.011
46.851,2.011
46.864,2.009
46.878,1.701
46.892,1.185
46.905,0.465
47.055,0.125
47.068,0.225
47.082,0.427
47.096,0.425
47.109,0.422
47.123,0.214
47.137,0.005
47.354,0.113
47.368,0.01
47.381,0.01
47.558,0.22
47.571,0.526
47.585,0.732
47.598,0.939
47.612,1.147
47.626,1.048
47.639,0.847
47.653,0.339
47.788,0.044
47.802,0.252
47.815,0.462
47.829,0.57
47.842,0.576
47.856,0.379
47.869,0.182
47.951,0.0
47.964,0.105
47.978,0.21
47.991,0.214
48.005,0.218
48.018,0.121
48.032,0.024
48.086,0.04
48.1,0.144
48.113,0.248
48.127,0.249
48.14,0.251
48.154,0.253
48.167,0.153
48.316,0.201
48.329,0.51
48.343,0.716
48.356,1.024
48.37,1.23
48.383,1.538
48.397,1.641
48.41,1.541
48.424,1.338
48.437,0.829
48.451,0.422
48.788,0.167
48.801,0.373
48.815,0.681
48.828,0.886
48.842,0.99
48.855,0.889
48.869,0.584
48.882,0.28
49.003,0.186
49.017,0.39
49.03,0.798
49.043,1.103
49.057,1.306
49.07,1.407
49.084,1.406
49.097,1.509
49.111,1.817
49.124,2.533
49.138,3.659
49.151,5.398
49.164,7.852
49.178,11.737
49.191,17.359
49.594,0.081
49.607,0.286
49.621,0.491
49.634,0.593
49.647,0.797
49.661,0.796
49.674,0.796
49.688,0.488
49.701,0.079
