Depth_m,nssCa
41.813,0.075
41.827,0.02
41.855,0.15
41.897,0.095
41.925,0.022
41.995,0.014
42.009,0.596
42.024,0.756
42.038,0.313
42.052,0.167
42.066,0.05
42.136,0.03
42.15,0.244
42.164,0.211
42.178,0.052
42.206,0.004
42.22,0.162
42.234,0.195
42.248,0.056
42.514,0.124
42.528,0.008
42.542,0.236
42.556,0.194
42.57,0.373
42.668,0.107
42.682,0.287
42.696,0.307
42.71,0.323
42.724,0.315
42.738,0.094
42.836,0.023
42.85,0.263
42.864,0.375
42.878,0.115
42.892,0.114
42.975,0.066
43.115,0.142
43.129,0.368
43.143,0.302
43.157,0.184
43.171,0.364
43.185,0.568
43.797,0.275
43.811,0.526
43.825,0.711
43.839,0.833
43.852,1.1
43.866,0.929
43.88,0.783
43.894,0.175
43.977,0.029
43.991,0.374
44.005,0.479
44.019,0.068
44.033,0.394
44.144,0.08
44.171,0.01
44.185,0.114
44.213,0.056
44.31,0.088
44.338,0.915
44.351,0.364
44.365,0.227
44.434,0.01
44.448,0.239
44.462,0.225
44.476,0.232
44.49,0.507
44.504,0.596
44.517,0.453
44.545,0.218
44.559,0.074
44.573,0.304
44.587,0.237
44.683,0.351
44.697,0.36
44.711,0.295
44.725,0.043
44.752,0.511
44.766,0.908
44.78,0.062
44.821,0.179
44.835,0.229
44.849,0.138
44.863,0.285
44.876,0.552
44.89,0.263
44.904,0.459
44.918,0.453
44.932,0.261
44.945,0.412
44.959,0.176
45.028,0.312
45.042,0.373
45.056,0.633
45.069,0.268
45.083,0.394
45.097,0.343
45.111,0.475
45.125,0.183
45.138,0.071
45.166,0.346
45.18,0.433
45.193,0.223
45.221,0.222
45.235,0.455
45.248,0.574
45.262,0.067
45.345,0.455
45.358,0.384
45.372,0.062
45.4,0.102
45.413,0.422
45.427,0.43
45.441,0.547
45.455,0.712
45.468,0.495
45.551,0.054
45.674,0.045
45.688,0.339
45.702,0.718
45.716,0.44
45.729,0.096
45.743,0.093
45.771,0.109
45.784,0.113
45.798,0.161
45.812,0.006
45.839,0.004
45.853,0.177
45.867,0.085
45.894,0.183
45.908,0.494
45.921,0.381
45.935,0.466
45.976,0.011
46.004,0.148
46.017,0.106
46.045,0.123
46.058,0.884
46.072,1.512
46.086,1.442
46.099,1.12
46.113,0.501
46.127,0.861
46.14,1.032
46.154,1.239
46.168,0.431
46.264,0.036
46.277,0.082
46.469,0.128
46.482,0.261
46.496,0.388
46.51,0.624
46.523,0.742
46.537,0.651
46.551,0.527
46.673,0.063
46.755,0.09
46.769,0.041
46.783,0.214
46.796,0.067
46.919,0.065
46.932,0.31
46.946,0.126
46.96,0.387
46.973,0.874
46.987,0.796
47.0,0.528
47.286,0.219
47.3,0.73
47.313,0.878
47.49,0.006
47.503,0.187
47.517,0.125
47.531,0.402
47.544,0.504
47.558,0.357
47.571,0.139
47.585,0.123
47.748,0.252
47.761,0.149
47.856,0.599
47.869,0.456
47.883,0.11
47.897,0.32
47.91,0.432
47.924,0.172
47.937,0.201
47.951,0.481
47.964,0.025
47.978,0.754
47.991,0.95
48.005,0.976
48.018,1.374
48.032,1.27
48.045,1.451
48.086,1.12
48.1,0.493
48.113,0.248
48.127,0.294
48.14,0.236
48.167,0.111
48.181,0.356
48.194,0.876
48.208,0.854
48.221,0.734
48.235,0.482
48.248,0.332
48.262,0.725
48.275,0.803
48.289,0.868
48.302,0.436
48.316,0.731
48.329,0.796
48.343,0.625
48.356,1.243
48.37,1.787
48.383,1.248
48.397,0.578
48.41,0.19
48.437,0.099
48.707,0.05
48.72,0.121
48.734,0.07
48.747,0.071
48.761,0.177
48.774,0.323
48.788,0.543
48.801,0.464
48.815,0.051
48.869,0.478
48.882,0.313
48.895,0.394
48.936,0.069
48.949,0.003
48.976,0.083
48.99,0.374
49.003,0.863
49.017,0.612
49.03,0.346
49.043,0.582
49.366,0.091
49.406,1.044
49.419,1.324
49.433,1.241
49.446,1.331
49.46,0.703
49.527,0.094
49.54,0.213
49.554,0.308
49.567,0.295
49.607,0.019
49.688,0.111
49.701,0.133
49.728,0.282
49.755,0.357
49.808,0.081
49.822,0.438
49.835,0.445
50.009,0.266
50.022,0.506
50.036,0.113
50.062,0.356
50.076,0.859
50.089,0.839
50.102,0.331
50.116,0.211
50.142,0.019
50.169,0.02
50.223,0.035
50.236,0.367
50.249,0.628
50.263,0.916
50.276,0.49
50.289,0.466
50.303,0.636
50.316,0.755
50.343,0.841
50.356,1.257
50.369,2.571
50.383,3.545
50.396,4.013
50.409,4.971
50.423,4.945
50.436,3.838
50.449,2.292
50.463,1.256
50.476,0.77
50.489,0.567
50.503,0.342
50.516,0.121
50.596,0.101
50.716,0.456
50.729,0.177
50.756,0.327
50.769,0.355
50.782,0.318
50.796,0.257
50.809,0.253
50.822,0.471
50.836,0.42
50.849,0.203
50.862,0.033
50.876,0.0
50.889,0.208
50.902,0.065
50.942,0.091
50.955,0.557
50.969,0.449
50.982,0.449
50.995,0.423
51.035,0.025
51.102,0.065
51.155,0.236
51.195,0.11
51.261,0.04
51.274,0.088
51.327,0.049
51.34,0.114
51.473,0.185
51.486,0.344
51.5,0.407
51.513,0.587
51.526,0.706
51.539,0.283
51.711,0.124
51.725,0.32
51.738,0.439
51.764,0.278
51.778,0.359
51.989,0.412
52.002,0.462
52.016,0.681
52.029,0.881
52.042,0.744
52.055,0.493
52.068,0.5
52.082,0.077
52.095,0.251
52.108,0.144
52.227,0.211
52.24,0.323
52.253,0.333
52.266,0.159
52.28,0.149
52.293,0.253
52.306,0.295
52.319,0.101
52.372,0.284
52.385,0.592
52.398,0.533
52.464,0.051
52.543,0.333
52.557,0.617
52.57,1.099
52.583,0.829
52.596,0.553
52.609,0.222
52.622,0.207
