Depth(m),Cond(uS)
10.955,1.061
10.965,1.059
10.975,1.04
10.985,1.003
10.995,0.945
11.005,0.878
11.015,0.824
11.025,0.779
11.035,0.739
11.045,0.693
11.055,0.641
11.065,0.597
11.075,0.575
11.085,0.577
11.095,0.599
11.105,0.64
11.115,0.696
11.125,0.754
11.135,0.81
11.145,0.85
11.155,0.89
11.165,0.917
11.175,0.918
11.185,0.85
11.195,0.732
11.205,0.644
11.215,0.616
11.225,0.618
11.235,0.624
11.245,0.634
11.255,0.652
11.265,0.678
11.275,0.709
11.285,0.75
11.295,0.796
11.305,0.831
11.315,0.842
11.325,0.831
11.335,0.798
11.345,0.753
11.355,0.715
11.365,0.694
11.375,0.683
11.385,0.683
11.395,0.7
11.405,0.736
11.415,0.788
11.425,0.851
11.435,0.922
11.445,0.963
11.455,0.972
11.465,0.98
11.475,0.995
11.485,1.016
11.495,1.013
11.505,0.974
11.515,0.921
11.525,0.855
11.535,0.8
11.545,0.771
11.555,0.763
11.565,0.749
11.575,0.727
11.585,0.721
11.595,0.747
11.605,0.785
11.615,0.814
11.625,0.825
11.635,0.812
11.645,0.783
11.655,0.756
11.665,0.744
11.675,0.744
11.685,0.744
11.695,0.743
11.705,0.752
11.715,0.772
11.725,0.792
11.735,0.793
11.745,0.77
11.755,0.73
11.765,0.692
11.775,0.673
11.785,0.671
11.795,0.68
11.805,0.7
11.815,0.725
11.825,0.74
11.835,0.739
11.845,0.726
11.855,0.721
11.865,0.744
11.875,0.783
11.885,0.829
11.895,0.882
11.905,0.938
11.915,0.986
11.925,1.032
11.935,1.075
11.945,1.114
11.955,1.145
11.965,1.177
11.975,1.2
11.985,1.224
11.995,1.241
12.005,1.242
12.015,1.225
12.025,1.18
12.035,1.114
12.045,1.049
12.055,0.995
12.065,0.968
12.075,0.964
12.085,0.979
12.095,1.013
12.105,1.045
12.115,1.043
12.125,0.991
12.135,0.888
12.145,0.774
12.155,0.705
12.165,0.685
12.175,0.7
12.185,0.738
12.195,0.788
12.205,0.851
12.215,0.907
12.225,0.944
12.235,0.97
12.245,0.98
12.255,0.983
12.265,1.022
12.275,1.082
12.285,1.129
12.295,1.132
12.305,1.103
12.315,1.092
12.325,1.107
12.335,1.127
12.345,1.138
12.355,1.132
12.365,1.115
12.375,1.086
12.385,1.04
12.395,0.991
12.405,0.963
12.415,0.947
12.425,0.971
12.435,1.029
12.445,1.111
12.455,1.174
12.465,1.179
12.475,1.13
12.485,1.04
12.495,0.93
12.505,0.84
12.515,0.816
12.525,0.826
12.535,0.832
12.545,0.796
12.555,0.721
12.565,0.67
12.575,0.663
12.585,0.678
12.595,0.682
12.605,0.666
12.615,0.643
12.625,0.656
12.635,0.711
12.645,0.809
12.655,0.923
12.665,1.03
12.675,1.111
12.685,1.165
12.695,1.215
12.705,1.301
12.715,1.479
12.725,1.716
12.735,2.072
12.745,2.596
12.755,3.127
12.765,3.541
12.775,3.592
12.785,3.1
12.795,2.244
12.805,1.449
12.815,1.104
12.825,1.089
12.835,1.203
12.845,1.333
12.855,1.403
12.865,1.39
12.875,1.309
12.885,1.202
12.895,1.088
12.905,0.995
12.915,0.949
12.925,0.948
12.935,0.963
12.945,0.939
12.955,0.863
12.965,0.798
12.975,0.777
12.985,0.779
12.995,0.801
13.005,0.847
13.015,0.911
13.025,0.977
13.035,1.038
13.045,1.093
13.055,1.127
13.065,1.109
13.075,1.028
13.085,0.922
13.095,0.827
13.105,0.756
13.115,0.709
13.125,0.672
13.135,0.642
13.145,0.626
13.155,0.636
13.165,0.69
13.175,0.813
13.185,0.929
13.195,0.971
13.205,0.97
13.215,0.965
13.225,0.983
13.235,1.001
13.245,0.973
13.255,0.912
13.265,0.861
13.275,0.835
13.285,0.827
13.295,0.825
13.305,0.825
13.315,0.834
13.325,0.849
13.335,0.874
13.345,0.921
13.355,0.984
13.365,1.041
13.375,1.092
13.385,1.139
13.395,1.179
13.405,1.218
13.415,1.259
13.425,1.283
13.435,1.277
13.445,1.249
13.455,1.2
13.465,1.141
13.475,1.082
13.485,1.019
13.495,0.953
13.505,0.888
13.515,0.828
13.525,0.779
13.535,0.77
13.545,0.797
13.555,0.83
13.565,0.847
13.575,0.852
13.585,0.864
13.595,0.892
13.605,0.929
13.615,0.963
13.625,0.987
13.635,0.991
13.645,0.972
13.655,0.947
13.665,0.924
13.675,0.913
13.685,0.927
13.695,0.966
13.705,1.03
13.715,1.08
13.725,1.092
13.735,1.093
13.745,1.092
13.755,1.074
13.765,1.021
13.775,0.922
13.785,0.811
13.795,0.752
13.805,0.751
13.815,0.784
13.825,0.813
13.835,0.809
13.845,0.762
13.855,0.691
13.865,0.628
13.875,0.578
13.885,0.55
13.895,0.546
13.905,0.554
13.915,0.572
13.925,0.596
13.935,0.622
13.945,0.654
13.955,0.684
13.965,0.706
13.975,0.723
13.985,0.752
13.995,0.805
14.005,0.861
14.015,0.911
14.025,0.951
14.035,0.983
14.045,0.997
14.055,1.012
14.065,1.022
14.075,1.025
14.085,1.013
14.095,0.972
14.105,0.911
14.115,0.853
14.155,0.63
14.165,0.705
14.215,0.73
14.225,0.733
14.235,0.748
14.245,0.774
14.255,0.797
14.265,0.835
14.275,0.881
14.285,0.914
14.295,0.933
14.305,0.966
14.315,1.027
14.325,1.104
14.335,1.143
14.345,1.14
14.355,1.097
14.365,1.037
14.375,0.975
14.385,0.938
14.395,0.927
14.405,0.935
14.415,0.945
14.425,0.952
14.435,0.938
14.445,0.914
14.455,0.869
14.465,0.817
14.475,0.771
14.485,0.738
14.495,0.735
14.505,0.763
14.515,0.826
14.525,0.906
14.535,0.963
14.545,0.957
14.555,0.865
14.565,0.755
14.575,0.704
14.585,0.709
14.595,0.752
14.605,0.824
14.615,0.896
14.625,0.952
14.635,0.935
14.645,0.862
14.655,0.777
14.665,0.732
14.675,0.714
14.685,0.708
14.695,0.704
14.705,0.711
14.715,0.735
14.725,0.771
14.735,0.816
14.745,0.879
14.755,0.951
14.765,1.06
14.775,1.189
14.785,1.309
14.795,1.363
14.805,1.312
14.815,1.174
14.825,0.98
14.835,0.816
14.845,0.724
14.855,0.706
14.865,0.733
14.875,0.785
14.885,0.848
14.895,0.916
14.905,1.0
14.915,1.08
14.925,1.14
14.935,1.179
14.945,1.201
14.955,1.215
14.965,1.218
14.975,1.218
14.985,1.208
14.995,1.197
15.005,1.178
15.015,1.155
15.025,1.126
15.035,1.089
15.045,1.047
15.055,1.004
15.065,0.97
15.075,0.954
15.085,0.96
15.095,0.983
15.105,1.003
15.115,1.009
15.125,1.002
15.135,1.0
15.145,1.009
15.155,1.03
15.165,1.056
15.175,1.087
15.185,1.087
15.195,1.029
15.205,0.925
15.215,0.844
15.225,0.839
15.235,0.885
15.245,0.966
15.255,1.075
15.265,1.213
15.275,1.322
15.285,1.333
15.295,1.229
15.305,1.044
15.315,0.875
15.325,0.805
15.335,0.803
15.345,0.822
15.355,0.854
15.365,0.898
15.375,0.945
15.385,0.969
15.395,0.952
15.405,0.919
15.415,0.904
15.425,0.921
15.435,0.948
15.445,0.975
15.455,0.994
15.465,0.996
15.475,0.966
15.485,0.895
15.495,0.82
15.505,0.764
15.515,0.743
15.525,0.754
15.535,0.785
15.545,0.825
15.555,0.875
15.565,0.946
15.575,1.026
15.585,1.095
15.595,1.13
15.605,1.106
15.615,1.023
15.625,0.918
15.635,0.873
15.645,0.893
15.655,0.939
15.665,0.998
15.675,1.075
15.685,1.14
15.695,1.159
15.705,1.131
15.715,1.064
15.725,0.967
15.735,0.871
15.745,0.797
15.755,0.735
15.765,0.691
15.775,0.672
15.785,0.679
15.795,0.699
15.805,0.719
15.815,0.728
15.825,0.733
15.835,0.739
15.845,0.737
15.855,0.724
15.865,0.705
15.875,0.694
15.885,0.693
15.895,0.706
15.905,0.736
15.915,0.781
15.925,0.833
15.935,0.876
15.945,0.906
15.955,0.93
15.965,0.943
15.975,0.947
15.985,0.946
15.995,0.947
16.005,0.951
16.015,0.963
16.025,0.982
16.035,1.015
16.045,1.058
16.055,1.098
16.065,1.129
16.075,1.139
16.085,1.122
16.095,1.084
16.105,1.028
16.115,0.964
16.125,0.912
16.135,0.899
16.145,0.933
16.155,0.999
16.165,1.088
16.175,1.177
16.185,1.217
16.195,1.167
16.205,1.083
16.215,1.023
16.225,1.007
16.235,1.037
16.245,1.096
16.255,1.132
16.265,1.139
16.275,1.135
16.285,1.126
16.295,1.145
16.305,1.204
16.315,1.3
16.325,1.409
16.335,1.513
16.345,1.57
16.355,1.569
16.365,1.525
16.375,1.441
16.385,1.335
16.395,1.239
16.405,1.154
16.415,1.083
16.425,1.026
16.435,0.988
16.445,0.983
16.455,1.001
16.465,1.018
16.475,1.016
16.485,0.982
16.495,0.942
16.505,0.924
16.515,0.936
16.525,0.98
16.535,1.037
16.545,1.083
16.555,1.108
16.565,1.112
16.575,1.101
16.585,1.067
16.595,1.017
16.605,0.978
16.615,0.97
16.625,0.993
16.635,1.033
16.645,1.069
16.655,1.099
16.665,1.124
16.675,1.146
16.685,1.156
16.695,1.155
16.705,1.142
16.715,1.119
16.725,1.092
16.735,1.068
16.745,1.054
16.755,1.048
16.765,1.048
16.775,1.061
16.785,1.109
16.795,1.2
16.805,1.3
16.815,1.362
16.825,1.312
16.835,1.144
16.845,0.984
16.855,0.881
16.865,0.817
16.875,0.752
16.885,0.688
16.895,0.64
16.905,0.613
16.915,0.607
16.925,0.616
16.935,0.631
16.945,0.648
16.955,0.661
16.965,0.673
16.975,0.686
16.985,0.7
16.995,0.713
17.005,0.733
17.015,0.77
17.025,0.842
17.035,0.932
17.045,0.997
17.055,1.029
17.065,1.037
17.075,1.043
17.085,1.065
17.095,1.093
17.105,1.102
17.115,1.078
17.125,1.017
17.135,0.934
17.145,0.851
17.155,0.776
17.165,0.731
17.175,0.715
17.185,0.706
17.195,0.696
17.205,0.696
17.215,0.718
17.225,0.755
17.235,0.805
17.245,0.866
17.255,0.934
17.265,0.979
17.275,0.988
17.285,0.959
17.295,0.897
17.305,0.832
17.315,0.793
17.325,0.808
17.335,0.869
17.345,0.946
17.355,1.009
17.365,1.052
17.375,1.045
17.385,0.996
17.395,0.932
17.405,0.878
17.415,0.857
17.425,0.86
17.435,0.865
17.445,0.849
17.455,0.798
17.465,0.731
17.475,0.669
17.485,0.65
17.495,0.694
17.505,0.769
17.515,0.847
17.525,0.911
17.535,0.952
17.545,0.973
17.555,0.986
17.565,0.99
17.575,0.982
17.585,0.963
17.595,0.938
17.605,0.901
17.615,0.854
17.625,0.8
17.635,0.763
17.645,0.739
17.655,0.755
17.665,0.805
17.675,0.894
17.685,1.007
17.695,1.13
17.705,1.214
17.715,1.264
17.725,1.313
17.735,1.363
17.745,1.408
17.755,1.44
17.765,1.44
17.775,1.382
17.785,1.276
17.795,1.145
17.805,1.014
17.815,0.938
17.825,0.941
17.835,0.966
17.845,0.983
17.855,0.975
17.865,0.939
17.875,0.877
17.885,0.788
17.895,0.696
17.905,0.63
17.915,0.598
17.925,0.592
17.935,0.621
17.945,0.681
17.955,0.765
17.965,0.882
17.975,1.008
17.985,1.1
17.995,1.141
18.005,1.116
18.015,1.071
18.025,1.048
18.035,1.008
18.045,0.911
18.055,0.794
18.065,0.712
18.075,0.646
18.085,0.58
18.095,0.528
18.105,0.495
18.115,0.468
18.125,0.443
18.135,0.426
18.145,0.412
18.155,0.403
18.165,0.406
18.175,0.423
18.185,0.458
18.195,0.506
18.205,0.562
18.215,0.622
18.225,0.675
18.235,0.711
18.245,0.719
18.255,0.71
18.265,0.716
18.275,0.741
18.285,0.781
18.295,0.822
18.305,0.864
18.315,0.903
18.325,0.938
18.335,0.981
18.345,1.052
18.355,1.135
18.365,1.208
18.375,1.247
18.385,1.253
18.395,1.219
18.405,1.169
18.415,1.126
18.425,1.121
18.435,1.137
18.445,1.161
18.455,1.179
18.465,1.164
18.475,1.093
18.485,0.977
18.495,0.871
18.505,0.791
18.515,0.751
18.525,0.744
18.535,0.752
18.545,0.778
18.555,0.809
18.565,0.835
18.575,0.853
18.585,0.866
18.595,0.871
18.605,0.882
18.615,0.896
18.625,0.917
18.635,0.942
18.645,0.976
18.655,1.01
18.665,1.045
18.675,1.057
18.685,1.052
18.695,1.026
18.705,0.996
18.715,0.974
18.725,0.959
18.735,0.951
18.745,0.93
18.755,0.902
18.765,0.863
18.775,0.842
18.785,0.836
18.795,0.843
18.805,0.867
18.815,0.909
18.825,0.977
18.835,1.059
18.845,1.103
18.855,1.093
18.865,1.024
18.875,0.958
18.885,0.943
18.895,0.958
18.905,0.973
18.915,0.982
18.925,0.978
18.935,0.953
18.945,0.909
18.955,0.861
18.965,0.818
18.975,0.784
18.985,0.757
18.995,0.738
19.005,0.729
19.015,0.739
19.025,0.764
