Depth_m,Br
41.235,1.855
41.249,0.763
41.264,0.55
41.278,0.072
41.461,0.128
41.475,0.79
41.489,1.349
41.503,1.677
41.517,1.599
41.531,1.27
41.545,0.834
41.56,2.099
41.574,3.792
41.588,3.72
41.602,3.628
41.616,2.805
41.63,2.455
41.658,1.494
41.672,0.285
41.785,0.142
41.799,0.123
41.925,0.077
42.066,0.151
42.08,0.497
42.094,0.805
42.108,0.914
42.122,1.189
42.136,1.09
42.15,1.198
42.164,1.313
42.178,1.247
42.192,1.201
42.206,1.149
42.22,1.19
42.234,0.881
42.248,0.292
42.5,0.194
42.514,0.434
42.528,0.628
42.542,0.609
42.556,0.81
42.57,0.873
42.584,1.096
42.598,0.845
42.612,0.417
42.864,0.192
42.878,0.202
42.892,0.056
43.727,0.053
43.741,0.212
43.755,0.228
43.852,0.125
43.991,0.493
44.005,1.162
44.019,1.159
44.033,0.717
44.047,0.123
44.061,0.233
44.144,0.421
44.158,0.146
44.282,0.044
44.296,0.696
44.31,0.646
44.324,1.643
44.338,3.691
44.351,2.753
44.365,2.537
44.379,1.968
44.393,1.288
44.407,0.843
44.421,0.797
44.434,0.679
44.448,0.552
44.462,0.527
44.476,0.696
44.49,0.655
44.504,0.672
44.517,0.874
44.531,0.934
44.545,1.022
44.559,0.908
44.573,0.857
44.587,0.551
44.6,0.42
44.614,0.175
44.628,0.328
44.642,0.348
44.656,0.27
44.725,0.089
44.738,0.122
45.056,0.258
45.069,0.329
45.083,0.536
45.097,0.353
45.111,0.778
45.125,0.395
45.4,0.376
45.413,0.699
45.427,1.087
45.441,1.062
45.455,0.682
45.468,0.151
45.702,0.369
45.716,0.664
45.729,0.628
45.743,0.498
45.757,0.467
45.771,0.701
45.784,0.709
45.798,0.672
45.812,0.56
45.825,0.292
45.839,0.06
45.963,0.145
45.976,0.476
45.99,0.537
46.004,0.708
46.017,0.767
46.031,0.845
46.045,0.974
46.058,1.128
46.072,1.917
46.086,2.389
46.099,1.414
46.113,0.033
46.428,0.276
46.441,0.602
46.455,0.957
46.469,1.432
46.482,1.912
46.496,2.132
46.51,2.366
46.523,1.959
46.537,1.851
46.551,1.083
46.564,1.364
46.578,1.268
46.592,0.594
46.81,0.108
46.823,0.086
46.837,0.14
46.878,0.021
46.892,0.468
46.905,0.871
46.919,1.194
46.932,1.195
46.946,0.806
46.96,0.284
46.973,0.405
46.987,0.227
47.0,0.2
47.014,0.259
47.028,0.066
47.205,0.127
47.218,0.213
47.232,0.095
47.3,0.262
47.313,0.356
47.327,0.451
47.436,0.652
47.449,1.192
47.463,0.908
47.476,0.699
47.49,0.021
47.503,0.485
47.517,0.972
47.531,1.474
47.544,1.544
47.558,1.882
47.571,1.946
47.585,1.632
47.598,0.967
47.612,0.418
47.639,0.038
47.775,0.065
47.883,0.4
47.897,0.885
47.91,0.825
47.924,0.866
47.937,0.764
47.951,0.435
47.964,0.585
47.978,1.271
47.991,1.403
48.005,1.706
48.018,1.961
48.032,1.619
48.045,0.93
48.086,0.037
48.302,0.049
48.316,0.902
48.329,1.484
48.343,1.616
48.356,1.922
48.37,1.996
48.383,0.595
48.41,0.165
48.424,0.537
48.437,0.863
48.451,0.928
48.464,0.836
48.478,0.409
48.599,2.6
48.613,2.776
48.626,2.482
48.64,2.224
48.693,0.165
48.707,0.367
48.72,0.589
48.734,0.765
48.747,0.708
48.761,0.662
48.774,0.526
48.788,0.503
48.801,0.205
48.815,0.401
48.828,0.398
48.842,0.187
48.922,0.296
48.936,0.857
48.949,1.261
48.963,1.185
48.976,0.35
48.99,0.032
49.554,0.117
49.567,1.029
49.58,0.989
